Kód obce,Název obce,Kód ORP,Název ORP,Kód okresu,Název okresu,Kód kraje,Název kraje,Podíl osob v exekuci (Q3 2024) [%],Podíl osob v exekuci (Q3 2024) / Průměr ČR [%],Podíl osob v exekuci (Q3 2024) / Průměr kraje [%],Podíl osob v exekuci (Q3 2024) / Průměr okresu [%],Počet exekvovaných ve věku 65 let a více (Q3 2024),Počet exekvovaných ve věku 65 let a více (Q3 2024) / Suma ČR,Počet exekvovaných ve věku 65 let a více (Q3 2024) / Suma kraje,Počet exekvovaných ve věku 65 let a více (Q3 2024) / Suma okresu,Počet exekvovaných ve věku 30 až 39 let (Q3 2024),Počet exekvovaných ve věku 30 až 39 let (Q3 2024) / Suma ČR,Počet exekvovaných ve věku 30 až 39 let (Q3 2024) / Suma kraje,Počet exekvovaných ve věku 30 až 39 let (Q3 2024) / Suma okresu,Počet exekvovaných ve věku 40 až 49 let (Q3 2024),Počet exekvovaných ve věku 40 až 49 let (Q3 2024) / Suma ČR,Počet exekvovaných ve věku 40 až 49 let (Q3 2024) / Suma kraje,Počet exekvovaných ve věku 40 až 49 let (Q3 2024) / Suma okresu,Počet exekvovaných ve věku 50 až 64 let (Q3 2024),Počet exekvovaných ve věku 50 až 64 let (Q3 2024) / Suma ČR,Počet exekvovaných ve věku 50 až 64 let (Q3 2024) / Suma kraje,Počet exekvovaných ve věku 50 až 64 let (Q3 2024) / Suma okresu,Počet exekvovaných dětí a mladistvých (Q3 2024),Počet exekvovaných dětí a mladistvých (Q3 2024) / Suma ČR,Počet exekvovaných dětí a mladistvých (Q3 2024) / Suma kraje,Počet exekvovaných dětí a mladistvých (Q3 2024) / Suma okresu,Počet exekvovaných ve věku 15 až 29 let (Q3 2024),Počet exekvovaných ve věku 15 až 29 let (Q3 2024) / Suma ČR,Počet exekvovaných ve věku 15 až 29 let (Q3 2024) / Suma kraje,Počet exekvovaných ve věku 15 až 29 let (Q3 2024) / Suma okresu,Počet osob v exekuci (Q3 2024),Počet osob v exekuci (Q3 2024) / Suma ČR,Počet osob v exekuci (Q3 2024) / Suma kraje,Počet osob v exekuci (Q3 2024) / Suma okresu,Podíl lidí ve věku 65 let a více z exekvovaných (Q3 2024) [%],Podíl lidí ve věku 65 let a více z exekvovaných (Q3 2024) / Průměr ČR [%],Podíl lidí ve věku 65 let a více z exekvovaných (Q3 2024) / Průměr kraje [%],Podíl lidí ve věku 65 let a více z exekvovaných (Q3 2024) / Průměr okresu [%],Podíl lidí ve věku 30 až 39 let z exekvovaných (Q3 2024) [%],Podíl lidí ve věku 30 až 39 let z exekvovaných (Q3 2024) / Průměr ČR [%],Podíl lidí ve věku 30 až 39 let z exekvovaných (Q3 2024) / Průměr kraje [%],Podíl lidí ve věku 30 až 39 let z exekvovaných (Q3 2024) / Průměr okresu [%],Podíl lidí ve věku 40 až 49 let z exekvovaných (Q3 2024) [%],Podíl lidí ve věku 40 až 49 let z exekvovaných (Q3 2024) / Průměr ČR [%],Podíl lidí ve věku 40 až 49 let z exekvovaných (Q3 2024) / Průměr kraje [%],Podíl lidí ve věku 40 až 49 let z exekvovaných (Q3 2024) / Průměr okresu [%],Podíl lidí ve věku 50 až 64 let z exekvovaných (Q3 2024) [%],Podíl lidí ve věku 50 až 64 let z exekvovaných (Q3 2024) / Průměr ČR [%],Podíl lidí ve věku 50 až 64 let z exekvovaných (Q3 2024) / Průměr kraje [%],Podíl lidí ve věku 50 až 64 let z exekvovaných (Q3 2024) / Průměr okresu [%],Podíl dětí a mladistvých z exekvovaných (Q3 2024) [%],Podíl dětí a mladistvých z exekvovaných (Q3 2024) / Průměr ČR [%],Podíl dětí a mladistvých z exekvovaných (Q3 2024) / Průměr kraje [%],Podíl dětí a mladistvých z exekvovaných (Q3 2024) / Průměr okresu [%],Podíl lidí ve věku 15 až 29 let z exekvovaných (Q3 2024) [%],Podíl lidí ve věku 15 až 29 let z exekvovaných (Q3 2024) / Průměr ČR [%],Podíl lidí ve věku 15 až 29 let z exekvovaných (Q3 2024) / Průměr kraje [%],Podíl lidí ve věku 15 až 29 let z exekvovaných (Q3 2024) / Průměr okresu [%],Celkový počet exekucí (Q3 2024),Celkový počet exekucí (Q3 2024) / Suma ČR,Celkový počet exekucí (Q3 2024) / Suma kraje,Celkový počet exekucí (Q3 2024) / Suma okresu,Průměrná vymáhaná částka na osobu (Q3 2024) [Kč],Průměrná vymáhaná částka na osobu (Q3 2024) / Průměr ČR [Kč],Průměrná vymáhaná částka na osobu (Q3 2024) / Průměr kraje [Kč],Průměrná vymáhaná částka na osobu (Q3 2024) / Průměr okresu [Kč],Průměrný počet exekucí na osobu (Q3 2024),Průměrný počet exekucí na osobu (Q3 2024) / Průměr ČR,Průměrný počet exekucí na osobu (Q3 2024) / Průměr kraje,Průměrný počet exekucí na osobu (Q3 2024) / Průměr okresu,Počet osob starších 15 let (2023),Počet osob starších 15 let (2023) / Suma ČR,Počet osob starších 15 let (2023) / Suma kraje,Počet osob starších 15 let (2023) / Suma okresu
500011,Želechovice nad Dřevnicí,7213,Zlín,40851,Zlín,3131,Zlínský kraj,3.1,6.8,4.2,3.9,5,68307,2460,797,7,141870,4191,1236,15,162344,5563,1732,20,189610,6982,2182,0,546,17,9,3,62822,1624,409,50,625563,20839,6366,10,11,12,13,14,23,20,19,30,26,27,27,40,30,34,34,0,0,0,0,6,10,8,6,260,3547407,111162,35547,794921,896918,1100167,1460737,5.2,5.7,5.3,5.6,1627,9172797,492783,163303
500020,Petrov nad Desnou,7111,Šumperk,40819,Šumperk,3123,Olomoucký kraj,4.6,6.8,6.1,5.7,10,68307,3854,723,9,141870,7017,1214,14,162344,8564,1514,11,189610,10089,1820,0,546,42,9,3,62822,3198,534,47,625563,32767,5815,21,11,12,12,19,23,21,21,30,26,26,26,23,30,31,31,0,0,0,0,6,10,10,9,179,3547407,181471,30185,416702,896918,833008,800596,3.8,5.7,5.5,5.2,1030,9172797,534524,101595
500046,Libhošť,8115,Nový Jičín,40894,Nový Jičín,3140,Moravskoslezský kraj,2.1,6.8,8.3,5.7,2,68307,8459,730,12,141870,19781,1716,7,162344,20938,1771,6,189610,25389,2288,0,546,34,4,3,62822,9409,740,30,625563,84015,7249,7,11,10,10,40,23,24,24,23,26,25,24,20,30,30,32,0,0,0,0,10,10,11,10,149,3547407,469484,37620,1078084,896918,702464,714922,5.0,5.7,5.6,5.2,1441,9172797,1010146,127632
500062,Krhová,7210,Valašské Meziříčí,40843,Vsetín,3131,Zlínský kraj,1.9,6.8,4.2,4.1,4,68307,2460,515,6,141870,4191,1048,10,162344,5563,1240,12,189610,6982,1639,0,546,17,1,2,62822,1624,468,34,625563,20839,4912,12,11,12,10,18,23,20,21,29,26,27,25,35,30,34,33,0,0,0,0,6,10,8,10,139,3547407,111162,23809,502465,896918,1100167,832665,4.1,5.7,5.3,4.8,1761,9172797,492783,120336
500071,Poličná,7210,Valašské Meziříčí,40843,Vsetín,3131,Zlínský kraj,1.3,6.8,4.2,4.1,1,68307,2460,515,5,141870,4191,1048,2,162344,5563,1240,7,189610,6982,1639,0,546,17,1,4,62822,1624,468,19,625563,20839,4912,5,11,12,10,26,23,20,21,11,26,27,25,37,30,34,33,0,0,0,0,21,10,8,10,79,3547407,111162,23809,472167,896918,1100167,832665,4.2,5.7,5.3,4.8,1508,9172797,492783,120336
500101,Bražec,4103,Karlovy Vary,40436,Karlovy Vary,3051,Karlovarský kraj,16.7,6.8,11.7,9.9,3,68307,3159,1202,9,141870,6897,2115,11,162344,7510,2487,7,189610,8444,3016,0,546,13,7,4,62822,3322,907,34,625563,29349,9736,9,11,11,12,26,23,24,22,32,26,26,26,21,30,29,31,0,0,0,0,12,10,11,9,167,3547407,160481,51765,618755,896918,654158,660994,4.9,5.7,5.5,5.3,204,9172797,251684,98611
500127,Doupovské Hradiště,4106,Ostrov,40436,Karlovy Vary,3051,Karlovarský kraj,12.7,6.8,11.7,9.9,0,68307,3159,1202,5,141870,6897,2115,4,162344,7510,2487,8,189610,8444,3016,0,546,13,7,0,62822,3322,907,17,625563,29349,9736,0,11,11,12,29,23,24,22,24,26,26,26,47,30,29,31,0,0,0,0,0,10,11,9,107,3547407,160481,51765,1026349,896918,654158,660994,6.3,5.7,5.5,5.3,134,9172797,251684,98611
500135,Kozlov,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,17.7,6.8,6.1,5.9,4,68307,3854,1385,9,141870,7017,2550,10,162344,8564,3141,12,189610,10089,3700,0,546,42,7,6,62822,3198,1028,41,625563,32767,11813,10,11,12,12,22,23,21,22,24,26,26,27,29,30,31,31,0,0,0,0,15,10,10,9,276,3547407,181471,69537,771132,896918,833008,955872,6.7,5.7,5.5,5.9,231,9172797,534524,199820
500151,Luboměř pod Strážnou,7101,Hranice,40801,Přerov,3123,Olomoucký kraj,2.9,6.8,6.1,6.2,0,68307,3854,745,1,141870,7017,1397,1,162344,8564,1749,0,189610,10089,2073,0,546,42,10,1,62822,3198,769,3,625563,32767,6743,0,11,12,11,33,23,21,21,33,26,26,26,0,30,31,31,0,0,0,0,33,10,10,11,4,3547407,181471,35802,61928,896918,833008,774896,1.3,5.7,5.5,5.3,103,9172797,534524,109351
500160,Město Libavá,7110,Šternberk,40789,Olomouc,3123,Olomoucký kraj,19.4,6.8,6.1,5.9,6,68307,3854,1385,19,141870,7017,2550,22,162344,8564,3141,37,189610,10089,3700,0,546,42,7,10,62822,3198,1028,94,625563,32767,11813,6,11,12,12,20,23,21,22,23,26,26,27,39,30,31,31,0,0,0,0,11,10,10,9,588,3547407,181471,69537,863453,896918,833008,955872,6.3,5.7,5.5,5.9,485,9172797,534524,199820
